,lon,lat,alt,time
92,-73.57211736962199,45.50477681681514,49.400001525878906,2019-09-10 18:53:40+00:00
93,-73.57211133465171,45.50484244711697,49.400001525878906,2019-09-10 18:53:41+00:00
94,-73.57208015397191,45.50489726476371,49.400001525878906,2019-09-10 18:53:42+00:00
95,-73.57203614898026,45.504942862316966,49.20000076293945,2019-09-10 18:53:43+00:00
96,-73.57198610901833,45.50499541684985,49.0,2019-09-10 18:53:44+00:00
97,-73.57194495387375,45.505045456811786,48.79999923706055,2019-09-10 18:53:45+00:00
98,-73.57188795693219,45.50510379485786,48.599998474121094,2019-09-10 18:53:46+00:00
99,-73.57183548621833,45.505168000236154,48.400001525878906,2019-09-10 18:53:47+00:00
100,-73.57175837270916,45.505263302475214,48.20000076293945,2019-09-10 18:53:48+00:00
101,-73.57172350399196,45.50534427165985,48.0,2019-09-10 18:53:49+00:00
102,-73.57167623005807,45.505414847284555,47.79999923706055,2019-09-10 18:53:50+00:00
103,-73.57162350788713,45.50548877567053,47.79999923706055,2019-09-10 18:53:51+00:00
104,-73.57156441546977,45.50555440597236,47.400001525878906,2019-09-10 18:53:52+00:00
105,-73.57149652205408,45.505628334358335,47.20000076293945,2019-09-10 18:53:53+00:00
106,-73.57142083346844,45.5057284142822,47.0,2019-09-10 18:53:54+00:00
107,-73.57134103775024,45.50581583753228,47.0,2019-09-10 18:53:55+00:00
108,-73.5712970327586,45.50587845034897,46.79999923706055,2019-09-10 18:53:56+00:00
109,-73.57126291841269,45.50592991523445,46.599998474121094,2019-09-10 18:53:57+00:00
110,-73.5712309833616,45.50596344284713,46.599998474121094,2019-09-10 18:53:58+00:00
111,-73.57121547684073,45.50599361769855,46.400001525878906,2019-09-10 18:53:59+00:00
112,-73.57120038941503,45.5060204397887,46.400001525878906,2019-09-10 18:54:00+00:00
113,-73.57119083404541,45.50604214891791,46.20000076293945,2019-09-10 18:54:01+00:00
114,-73.57120256870985,45.506072575226426,46.20000076293945,2019-09-10 18:54:02+00:00
115,-73.57109343633056,45.506132673472166,46.0,2019-09-10 18:54:33+00:00
116,-73.57105898670852,45.5061689671129,45.79999923706055,2019-09-10 18:54:34+00:00
117,-73.5710185021162,45.5062086135149,45.599998474121094,2019-09-10 18:54:35+00:00
118,-73.5709719825536,45.5062501039356,45.599998474121094,2019-09-10 18:54:36+00:00
119,-73.5709217749536,45.50629176199436,45.400001525878906,2019-09-10 18:54:37+00:00
120,-73.57086955569685,45.506341215223074,45.20000076293945,2019-09-10 18:54:38+00:00
121,-73.57081163674593,45.50640223547816,45.0,2019-09-10 18:54:39+00:00
122,-73.57076067477465,45.506464848294854,45.0,2019-09-10 18:54:40+00:00
123,-73.57070602476597,45.50651505589485,45.0,2019-09-10 18:54:41+00:00
124,-73.57065514661372,45.50655956380069,45.0,2019-09-10 18:54:42+00:00
125,-73.57059982605278,45.50659795291722,45.0,2019-09-10 18:54:43+00:00
126,-73.57055062428117,45.50664531067014,44.79999923706055,2019-09-10 18:54:44+00:00
127,-73.57049840502441,45.50669300369918,44.599998474121094,2019-09-10 18:54:45+00:00
128,-73.57044140808284,45.506748240441084,44.400001525878906,2019-09-10 18:54:46+00:00
129,-73.57038541696966,45.50680146552622,44.20000076293945,2019-09-10 18:54:47+00:00
130,-73.57033336535096,45.50685443915427,44.0,2019-09-10 18:54:48+00:00
131,-73.57027896679938,45.506905568763614,43.79999923706055,2019-09-10 18:54:49+00:00
132,-73.57023102231324,45.50696097314358,43.599998474121094,2019-09-10 18:54:50+00:00
