Activity_Type,Date,Favorite,Title,Distance,Calories,Time,Avg_HR,Max_HR,Avg Run Cadence,Max Run Cadence,Avg_Pace,Best_Pace,Elev_Gain,Elev_Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Cycling,2019-07-04 09:17:49,false,Montreal Cycling,5.59,173,00:12:42,138,168,--,--,26.4,37.6,52,2,0,0,0,0,0,0,0:00,0,0:00,No,01:17.22,2,0
Cycling,2019-07-03 18:55:29,false,Montreal Cycling,32.19,927,01:02:17,158,193,--,--,31,42.7,95,93,0,0,0,0,0,0,0:00,0,0:00,No,04:22.82,7,0
Cycling,2019-07-03 17:13:40,false,Montreal Cycling,6.39,171,00:20:18,112,132,--,--,18.9,34.2,8,64,0,0,0,0,0,0,0:00,0,0:00,No,03:47.68,2,0
Cycling,2019-07-03 08:59:19,false,Montreal Cycling,5.71,189,00:12:31,148,181,--,--,27.4,40.7,52,2,0,0,0,0,0,0,0:00,0,0:00,No,01:39.58,2,0
Cycling,2019-07-02 16:54:55,false,Montreal Cycling,36.34,1244,01:30:12,156,190,--,--,24.2,54.1,504,551,0,0,0,0,0,0,0:00,0,0:00,No,03:10.08,8,0
Cycling,2019-07-02 09:10:58,false,Montreal Cycling,5.42,222,00:13:01,166,187,--,--,25,40.3,53,2,0,0,0,0,0,0,0:00,0,0:00,No,00:59.84,2,0
Running,2019-06-23 16:56:35,false,Galway Running,6.01,500,00:29:43,165,218,148,162,12.1,3:02,141,57,1.37,0,0,0,0,0,0:00,0,0:00,No,00:01.94,7,0
Running,2019-06-22 17:45:44,false,Galway Running,5.01,311,00:21:07,153,189,150,164,14.2,3:44,39,40,1.58,0,0,0,0,0,0:00,0,0:00,No,00:01.27,6,0
Cycling,2019-06-18 18:49:52,false,Montreal Cycling,44.28,1277,01:30:57,154,182,--,--,29.2,43.4,130,130,0,0,0,0,0,0,0:00,0,0:00,No,12:37.98,4,0
Cycling,2019-06-16 14:38:22,false,Montreal Cycling,57.47,1724,02:04:41,149,183,--,--,27.7,44.3,126,129,0,0,0,0,0,0,0:00,0,0:00,No,05:51.05,12,0
Cycling,2019-06-15 15:01:09,false,Montreal Cycling,38.14,1213,01:17:45,155,186,--,--,29.4,51.1,88,92,0,0,0,0,0,0,0:00,0,0:00,No,07:08.67,8,0
Cycling,2019-06-13 17:21:13,false,Montreal Cycling,38.83,1206,01:31:09,146,187,--,--,25.6,55.1,388,390,0,0,0,0,0,0,0:00,0,0:00,No,08:04.29,8,0
Cycling,2019-06-12 07:50:37,false,Montreal Cycling,65.92,2102,02:28:05,150,182,--,--,26.7,45.4,156,159,0,0,0,0,0,0,0:00,0,0:00,No,02:12.34,14,0
Cycling,2019-06-09 10:07:22,false,Montreal Cycling,86.86,3004,03:02:12,162,183,--,--,28.6,43.5,140,142,0,0,0,0,0,0,0:00,0,0:00,No,03:36.21,18,0
Cycling,2019-06-06 17:22:10,false,Montreal Cycling,70.58,2122,02:32:02,152,181,--,--,27.9,42.4,138,139,0,0,0,0,0,0,0:00,0,0:00,No,01:10.27,15,0
Cycling,2019-06-04 18:29:41,false,Montreal Cycling,20.09,587,00:44:47,133,165,--,--,26.9,48.3,45,102,0,0,0,0,0,0,0:00,0,0:00,No,00:13.14,5,0
Cycling,2019-06-04 08:56:40,false,Montreal Cycling,5.82,198,00:17:25,120,151,--,--,20.1,38.5,51,2,0,0,0,0,0,0,0:00,0,0:00,No,02:28.69,2,0
Cycling,2019-06-03 16:08:14,false,Montreal Cycling,60.49,2205,02:20:18,156,179,--,--,25.9,55.1,341,344,0,0,0,0,0,0,0:00,0,0:00,No,00:56.19,13,0
Cycling,2019-06-01 10:05:36,false,Montreal Cycling,108.76,2771,04:08:33,143,172,--,--,26.3,47.5,266,266,0,0,0,0,0,0,0:00,0,0:00,No,09:19.62,22,0
Cycling,2019-05-31 17:25:40,false,Montreal Cycling,6.15,211,00:15:28,131,149,--,--,23.9,43.9,2,45,0,0,0,0,0,0,0:00,0,0:00,No,02:51.52,2,0
Cycling,2019-05-31 15:55:50,false,Montreal Cycling,12.89,339,00:31:39,120,169,--,--,24.4,50.5,208,203,0,0,0,0,0,0,0:00,0,0:00,No,06:35.53,3,0
Cycling,2019-05-31 08:45:22,false,Montreal Cycling,5.67,214,00:13:58,143,172,--,--,24.3,38.2,45,6,0,0,0,0,0,0,0:00,0,0:00,No,01:38.36,2,0
Cycling,2019-05-30 18:05:17,false,Montreal Cycling,28.84,1148,01:11:21,156,194,--,--,24.3,52,351,353,0,0,0,0,0,0,0:00,0,0:00,No,09:11.65,6,0
Cycling,2019-05-27 17:49:57,false,Montreal Cycling,40.53,1366,01:28:12,156,176,--,--,27.6,39.4,92,94,0,0,0,0,0,0,0:00,0,0:00,No,01:12.35,9,0
Cycling,2019-05-26 11:43:58,false,Montreal Cycling,41.89,1483,01:28:14,162,184,--,--,28.5,43.5,115,115,0,0,0,0,0,0,0:00,0,0:00,No,03:45.41,9,0
Cycling,2019-05-24 13:34:21,false,Montreal Cycling,12.43,456,00:27:09,155,180,--,--,27.5,44.2,84,162,0,0,0,0,0,0,0:00,0,0:00,No,04:41.40,3,0
Cycling,2019-05-24 08:23:30,false,Montreal Cycling,5.39,198,00:12:51,144,183,--,--,25.2,39.4,53,--,0,0,0,0,0,0,0:00,0,0:00,No,01:12.39,2,0
Cycling,2019-05-20 10:44:43,false,Montreal Cycling,43.19,1280,01:53:19,141,187,--,--,22.9,46.4,103,105,0,0,0,0,0,0,0:00,0,0:00,No,08:55.18,9,0
Cycling,2019-05-18 09:49:27,false,Montreal Cycling,103.24,3708,03:45:48,163,185,--,--,27.4,50.4,175,175,0,0,0,0,0,0,0:00,0,0:00,No,07:46.55,21,0
Cycling,2019-05-12 12:16:42,false,Montreal Cycling,77.45,2573,03:01:22,155,186,--,--,25.6,40.7,141,146,0,0,0,0,0,0,0:00,0,0:00,No,05:54.28,16,0
Cycling,2019-05-07 17:09:10,false,Montreal Cycling,54.62,2024,02:05:12,159,183,--,--,26.2,41.5,127,125,0,0,0,0,0,0,0:00,0,0:00,No,10:03.03,11,0
Cycling,2019-05-06 17:47:07,false,Montreal Cycling,42.18,1489,01:33:53,154,188,--,--,27,40.4,89,92,0,0,0,0,0,0,0:00,0,0:00,No,03:49.12,9,0
Cycling,2019-05-04 09:44:33,false,Montreal Cycling,73.61,2075,02:59:37,143,172,--,--,24.6,39.1,138,199,0,0,0,0,0,0,0:00,0,0:00,No,09:53.64,15,0
Cycling,2019-04-30 18:11:00,false,Montreal Cycling,19.83,699,00:44:42,152,179,--,--,26.6,39.3,62,61,0,0,0,0,0,0,0:00,0,0:00,No,10:07.62,4,0
Cycling,2019-04-28 10:48:27,false,Montreal Cycling,85.82,3151,03:18:59,155,208,--,--,25.9,48.8,179,178,0,0,0,0,0,0,0:00,0,0:00,No,01:50.59,18,0
Cycling,2019-04-25 17:27:26,false,Montreal Cycling,18.48,704,00:46:42,151,187,--,--,23.7,50.4,223,267,0,0,0,0,0,0,0:00,0,0:00,No,07:09.70,4,0
Cycling,2019-04-25 09:00:49,false,Montreal Cycling,6.52,222,00:16:30,130,157,--,--,23.7,39.8,60,8,0,0,0,0,0,0,0:00,0,0:00,No,04:30.11,2,0
Cycling,2019-04-23 17:23:30,false,Montreal Cycling,6.12,255,00:15:49,147,167,--,--,23.2,35.9,3,57,0,0,0,0,0,0,0:00,0,0:00,No,02:44.76,2,0
Cycling,2019-04-23 16:07:06,false,Montreal Cycling,13.85,630,00:38:51,153,176,--,--,21.4,53.2,206,210,0,0,0,0,0,0,0:00,0,0:00,No,10:10.55,3,0
Cycling,2019-04-23 08:21:43,false,Montreal Cycling,6.51,239,00:17:06,134,171,--,--,22.8,43,59,8,0,0,0,0,0,0,0:00,0,0:00,No,04:18.30,2,0
Cycling,2019-04-22 15:55:24,false,Montreal Cycling,44.09,1497,01:53:40,142,177,--,--,23.3,40.3,152,153,0,0,0,0,0,0,0:00,0,0:00,No,09:24.20,9,0
Cycling,2019-04-21 13:03:49,false,Montreal Cycling,86.65,3234,03:32:52,156,178,--,--,24.4,46,180,179,0,0,0,0,0,0,0:00,0,0:00,No,03:59.86,18,0
Cycling,2019-04-18 14:14:38,false,Montreal Cycling,16.97,644,00:39:16,154,177,--,--,25.9,40.4,50,51,0,0,0,0,0,0,0:00,0,0:00,No,05:05.46,4,0
Cycling,2019-04-17 16:01:57,false,Montreal Cycling,69.27,2183,03:05:39,150,183,--,--,22.4,40.2,178,219,0,0,0,0,0,0,0:00,0,0:00,No,10:48.84,14,0
Cycling,2019-04-17 08:22:03,false,Montreal Cycling,6.56,166,00:16:31,114,125,--,--,23.8,39.2,60,8,0,0,0,0,0,0,0:00,0,0:00,No,04:13.02,2,0
Cycling,2019-04-13 16:36:25,false,Montreal Cycling,17.66,782,00:50:18,153,182,--,--,21.1,40.4,182,214,0,0,0,0,0,0,0:00,0,0:00,No,06:29.18,4,0
Cycling,2019-04-13 16:03:21,false,Montreal Cycling,6.02,302,00:22:17,133,160,--,--,16.2,33.6,46,11,0,0,0,0,0,0,0:00,0,0:00,No,04:30.72,2,0
Cross Country Classic Skiing,2019-04-10 07:35:35,false,Montreal Running,7.02,746,00:55:36,141,182,102,166,7.6,20.9,127,183,1.2,0,0,0,0,0,0:00,0,0:00,No,00:09.07,8,0
Walking,2019-04-06 17:37:07,false,Carmel Walking,4.67,408,00:51:41,107,144,98,118,5.4,7:36,96,85,0.92,0,0,0,0,0,0:00,0,0:00,No,16:17.25,3,0
